feature,psi,csi,ks_statistic,ks_pvalue,psi_interpretation,drift_detected
Income_per_FamilyMember,0.0008374971965804491,0.0008374971965804491,0.008798642694360925,0.10371127857490248,Stable,False
Score_Source_3,0.0006818759727023848,0.0006818759727023848,0.006172528352284615,0.4597402327195743,Stable,False
Age_Years,0.0006811783481750088,0.0006811783481750088,0.004026594453773014,0.9152892292664718,Stable,False
Age_Days,0.0006811783481750088,0.0006811783481750088,0.004026594453773014,0.9152892292664718,Stable,False
Population_Region_Relative,0.0006097858284200141,0.0006097858284200141,0.00576293837494668,0.5488432533731554,Stable,False
Application_Process_Hour,0.0006051089387374204,0.0006051089387374204,0.004869753055709691,0.7543592391521032,Stable,False
Phone_Change,0.000582392069059823,0.000582392069059823,0.00756473919085765,0.2239485866231804,Stable,False
Score_Source_2,0.0005446581070936875,0.0005446581070936875,0.007739544385218289,0.2022723254088783,Stable,False
Score_Mean,0.0005425901733882607,0.0005425901733882607,0.005255225488935755,0.6659532282070537,Stable,False
Registration_Days,0.0005072824738194102,0.0005072824738194102,0.00637736613240758,0.4180948402707393,Stable,False
Credit_Amount,0.00045200893889109085,0.00045200893889109085,0.005084359914346415,0.7055737044105443,Stable,False
Loan_Annuity,0.0003954636028593795,0.0003954636028593795,0.004264731000152455,0.8769901979901756,Stable,False
Score_Std,0.00036528846976746334,0.00036528846976746334,0.009157611083037143,0.08108895736307586,Stable,False
Client_Income,0.00031623188003964255,0.00031623188003964255,0.0038557723721368564,0.9382204504292143,Stable,False
Employed_Years,0.0002932609073660488,0.0002932609073660488,0.006515367870273736,0.39130556020637386,Stable,False
Employed_Days,0.0002932609073660488,0.0002932609073660488,0.006515367870273736,0.39130556020637386,Stable,False
Score_Source_1,0.00027672679760905745,0.00027672679760905745,0.00575201883766796,0.5513061896895729,Stable,False
Credit_Annuity_Ratio,0.00025799312849357053,0.00025799312849357053,0.0072166833244677875,0.27226589964391157,Stable,False
Client_Occupation,0.00023904532606607904,0.00023904532606607904,0.0061065439301135616,0.4736045253488239,Stable,False
Type_Organization,0.00022661687291894943,0.00022661687291894943,0.003531233566503311,0.9706073973504263,Stable,False
Debt_Income_Ratio,0.0002225600195650814,0.0002225600195650814,0.003950117005865422,0.9260473780477466,Stable,False
ID_Days,0.00020313903129137012,0.00020313903129137012,0.008118683683242534,0.16085628326719525,Stable,False
Annuity_Income_Ratio,0.00019442017308274423,0.00019442017308274423,0.00531784692371684,0.6513677151587602,Stable,False
ID_Registration_Ratio,0.00018162666647601107,0.00018162666647601107,0.0038933236268285376,0.933522626482999,Stable,False
Own_House_Age,0.00017760365218962948,0.00017760365218962948,0.005106287377809021,0.700514586712781,Stable,False
Client_Income_Type,0.00015429309406038414,0.00015429309406038414,0.003891606356671906,0.9337417358775881,Stable,False
Social_Circle_Default,0.00014204308092985357,0.00014204308092985357,0.0035630086763951407,0.9680798345702571,Stable,False
Application_Process_Day,9.470346017636041e-05,9.470346017636041e-05,0.0045587980814949525,0.821052982812346,Stable,False
Accompany_Client,9.420952169479841e-05,9.420952169479841e-05,0.0017686367375099321,0.99999998693335,Stable,False
Phone_Reachability,8.088332526497381e-05,8.088332526497381e-05,0.001905032042100574,0.9999997974111505,Stable,False
Client_Family_Members,7.235469081969845e-05,7.235469081969845e-05,0.0033655226083806333,0.9816569829226786,Stable,False
Client_Marital_Status,7.027597933355444e-05,7.027597933355444e-05,0.0020605670521460784,0.9999975873238941,Stable,False
Credit_Bureau,6.692491294960402e-05,6.692491294960402e-05,0.0021311561153743996,0.9999937819373588,Stable,False
Cleint_City_Rating,3.094302750460322e-05,3.094302750460322e-05,0.0021018558948259214,0.9999957526979356,Stable,False
Client_Housing_Type,2.8081983497060038e-05,2.8081983497060038e-05,0.0011306414113468957,1.0,Stable,False
Child_Count,2.6514275340741347e-05,2.6514275340741347e-05,0.0023047687610151524,0.9999557368257057,Stable,False
Client_Gender,4.427367575108174e-06,4.427367575108174e-06,0.0009940160150033184,1.0,Stable,False
Car_Owned,,,0.00516993580748748,0.6857795830176254,N/A,False
Bike_Owned,,,0.002750831087202865,0.9986535549233182,N/A,False
Active_Loan,,,0.010581014787127085,0.027738465607601404,N/A,True
House_Own,,,0.004719233765280051,0.787400302356541,N/A,False
Mobile_Tag,,,1.1397959765202029e-05,1.0,N/A,False
Homephone_Tag,,,0.0024249285670331355,0.9998652360621194,N/A,False
Workphone_Working,,,0.0009047516388215326,1.0,N/A,False
Has_All_Scores,,,0.004360916367905143,0.8596394222909601,N/A,False
Client_Education,,,0.006097776592524667,0.47546223472690696,N/A,False
Loan_Contract_Type,,,0.0008413445248839357,1.0,N/A,False
Client_Permanent_Match_Tag,,,0.0011839216821547816,1.0,N/A,False
Client_Contact_Work_Tag,,,0.00010314003128741867,1.0,N/A,False
